"","Muscle","count","mean_Dis_2_Soma","sd_Dis_2_Soma","mean_Axon_Hil_Area","sd_Axon_Hil_Area","mean_AIS_Length","sd_AIS_Length","mean_AIS_Area","sd_AIS_Area","mean_Soma_Diam","sd_Soma_Diam","mean_AIS_Area_corrected","sd_AIS_Area_corrected"
"1","MG",65,12.5038461538462,5.94530373811646,85.5240953846154,57.5286197504995,28.4216923076923,5.70782291279663,58.0873838461538,27.3130213298588,37.1384615384615,5.14562746136502,58.0873838461538,27.3130213298588
"2","SOL",82,7.11060975609756,2.65185392758292,36.5125304878049,17.8377174653078,27.9987804878049,5.6180813451393,63.4914975609756,26.1277946038466,37.8323170731707,13.460429826276,63.4914975609756,26.1277946038466
