"","term","estimate","std.error","conf.low","conf.high"
"1","(Intercept)",-0.000356550163961579,0.132479553034348,-0.284892636142627,0.248882125807773
"2","hilock_Lgth",0.736902112512918,0.158714782670261,0.416722630891858,1.05165462470627
"3","twt_Amp",0.35016675601677,0.159563883037269,0.0293909516073026,0.675992337871091
"4","sigma",0.307154428199402,0.144042612349466,0.1517335622697,0.620824042281337
