"","group","condition_mean",".lower",".upper",".width",".point",".interval"
"1","MG",12.5111202241584,11.0298853063611,14.4264309577427,0.95,"median","qi"
"2","SOL",7.15454175911514,6.57826306847388,7.83571878164713,0.95,"median","qi"
"3","MG",12.5111202241584,11.7713029758144,13.3331676939223,0.66,"median","qi"
"4","SOL",7.15454175911514,6.86578058386013,7.45960111628988,0.66,"median","qi"
